job_id,job_title,company_name,company_location,pay_range,job_level,employment_type,job_posted_date,industry
3999719407,Business Analyst-RPA-Canada,Zortech Solutions,Canada,,Associate,Full-time,2024-08-13 14:33:42,Human Resources Services
3980031357,Business Analyst,delaPlex,Canada,,Mid-Senior level,Full-time,2024-07-16 14:33:43,IT Services and IT Consulting
3903816663,Business Analyst,Zortech Solutions,"Toronto, Ontario, Canada",,Associate,Full-time,2024-05-17 14:33:44,Human Resources Services
3994887179,Business Analyst,Onix,"Greater Toronto Area, Canada",,Mid-Senior level,Full-time,2024-08-10 14:33:44,IT Services and IT Consulting
3948516566,Business Analyst-RPA - Canada,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:33:45,Human Resources Services
3934828296,"Business Analyst, BA-Canada",Zortech Solutions,"Regina, Saskatchewan, Canada",,Associate,Contract,2024-06-16 14:33:46,Human Resources Services
3995280784,Business Operations Analyst,Rentokil Initial,Canada,,Mid-Senior level,Full-time,2024-08-08 14:33:47,Environmental Services
3933492865,Business Analyst-RPA,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:33:47,Human Resources Services
3967789220,Business Analyst (Jr - Intermediate),"V-Soft Consulting Group, Inc.","Etobicoke, Ontario, Canada",,Entry level,Contract,2024-08-01 14:33:49,IT Services and IT Consulting
3828061346,Business Operations Analyst - Capital One/HTS,Hopper,"Vancouver, British Columbia, Canada","CA$130,000.00/yr - CA$180,000.00/yr",Associate,Full-time,2024-02-17 14:33:51,"Technology, Information and Internet"
3980031357,Business Analyst,delaPlex,Canada,,Mid-Senior level,Full-time,2024-07-16 14:33:52,IT Services and IT Consulting
3903816663,Business Analyst,Zortech Solutions,"Toronto, Ontario, Canada",,Associate,Full-time,2024-05-17 14:33:52,Human Resources Services
3994887179,Business Analyst,Onix,"Greater Toronto Area, Canada",,Mid-Senior level,Full-time,2024-08-10 14:33:53,IT Services and IT Consulting
3948516566,Business Analyst-RPA - Canada,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:33:54,Human Resources Services
3934828296,"Business Analyst, BA-Canada",Zortech Solutions,"Regina, Saskatchewan, Canada",,Associate,Contract,2024-06-16 14:33:54,Human Resources Services
3995280784,Business Operations Analyst,Rentokil Initial,Canada,,Mid-Senior level,Full-time,2024-08-08 14:33:55,Environmental Services
3933492865,Business Analyst-RPA,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:33:56,Human Resources Services
3967789220,Business Analyst (Jr - Intermediate),"V-Soft Consulting Group, Inc.","Etobicoke, Ontario, Canada",,Entry level,Contract,2024-08-01 14:33:56,IT Services and IT Consulting
3828061346,Business Operations Analyst - Capital One/HTS,Hopper,"Vancouver, British Columbia, Canada","CA$130,000.00/yr - CA$180,000.00/yr",Associate,Full-time,2024-02-17 14:33:57,"Technology, Information and Internet"
3989365717,Business Analyst,Focus on WD,"North York, Ontario, Canada",CA$40.00/hr - CA$80.00/hr,Not Applicable,Contract,2024-08-08 14:33:57,Marketing Services
3903816663,Business Analyst,Zortech Solutions,"Toronto, Ontario, Canada",,Associate,Full-time,2024-05-17 14:34:00,Human Resources Services
3994887179,Business Analyst,Onix,"Greater Toronto Area, Canada",,Mid-Senior level,Full-time,2024-08-10 14:34:01,IT Services and IT Consulting
3948516566,Business Analyst-RPA - Canada,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:34:01,Human Resources Services
3934828296,"Business Analyst, BA-Canada",Zortech Solutions,"Regina, Saskatchewan, Canada",,Associate,Contract,2024-06-16 14:34:02,Human Resources Services
3995280784,Business Operations Analyst,Rentokil Initial,Canada,,Mid-Senior level,Full-time,2024-08-08 14:34:02,Environmental Services
3933492865,Business Analyst-RPA,Zortech Solutions,Canada,,Associate,Contract,2024-06-16 14:34:03,Human Resources Services
3967789220,Business Analyst (Jr - Intermediate),"V-Soft Consulting Group, Inc.","Etobicoke, Ontario, Canada",,Entry level,Contract,2024-08-01 14:34:04,IT Services and IT Consulting
