job_id,job_title,company_name,company_location,pay_range,job_level,employment_type,job_posted_date,industry
3847781424,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-07-31 13:56:00,"Software Development, Financial Services, and Technology, Information and Internet"
3908187506,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-07-31 13:56:01,"Software Development, Financial Services, and Technology, Information and Internet"
3969523560,"Analyst, Data Solutions",Klick,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-08-07 13:56:01,Advertising Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:56:02,Software Development
3888849251,Data Engineer (x1)- Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:03,Human Resources Services
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:03,Human Resources Services
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:56:05,Marketing Services
3999761308,Junior Analytics Developer,VERB Interactive,"Montreal, Quebec, Canada",,Entry level,Full-time,2024-08-07 13:56:06,Non-profit Organizations and Primary and Secondary Education
4000544847,Data Analyst,IIQAFGROUP,"Ontario, Canada",,Entry level,Full-time,2024-08-13 16:56:07,Hospitality
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:56:08,Non-profit Organizations and Primary and Secondary Education
3908187506,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-07-31 13:56:11,"Software Development, Financial Services, and Technology, Information and Internet"
3969523560,"Analyst, Data Solutions",Klick,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-08-07 13:56:12,Advertising Services
3888849251,Data Engineer (x1)- Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:13,Human Resources Services
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:56:14,Non-profit Organizations and Primary and Secondary Education
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:15,Human Resources Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:56:16,Software Development
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:56:17,Marketing Services
3866635991,Data Analytics with AWS,Zortech Solutions,Canada,,Entry level,Contract,2024-04-16 13:56:18,Human Resources Services
3994957918,Junior Analytics Developer,VERB Interactive,"Calgary, Alberta, Canada",,Entry level,Full-time,2024-08-07 13:56:19,Non-profit Organizations and Primary and Secondary Education
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-16 13:56:20,"Manufacturing, Software Development, and Technology, Information and Internet"
3969523560,"Analyst, Data Solutions",Klick,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-08-07 13:56:22,Advertising Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:56:23,Software Development
3888849251,Data Engineer (x1)- Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:24,Human Resources Services
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:24,Human Resources Services
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:56:25,Marketing Services
3999761308,Junior Analytics Developer,VERB Interactive,"Montreal, Quebec, Canada",,Entry level,Full-time,2024-08-07 13:56:26,Non-profit Organizations and Primary and Secondary Education
4000544847,Data Analyst,IIQAFGROUP,"Ontario, Canada",,Entry level,Full-time,2024-08-13 16:56:27,Hospitality
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:56:27,Non-profit Organizations and Primary and Secondary Education
3866635991,Data Analytics with AWS,Zortech Solutions,Canada,,Entry level,Contract,2024-04-16 13:56:28,Human Resources Services
3994957918,Junior Analytics Developer,VERB Interactive,"Calgary, Alberta, Canada",,Entry level,Full-time,2024-08-07 13:56:30,Non-profit Organizations and Primary and Secondary Education
3888849251,Data Engineer (x1)- Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:32,Human Resources Services
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:56:32,Non-profit Organizations and Primary and Secondary Education
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:33,Human Resources Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:56:34,Software Development
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:56:35,Marketing Services
3866635991,Data Analytics with AWS,Zortech Solutions,Canada,,Entry level,Contract,2024-04-16 13:56:36,Human Resources Services
3994957918,Junior Analytics Developer,VERB Interactive,"Calgary, Alberta, Canada",,Entry level,Full-time,2024-08-07 13:56:37,Non-profit Organizations and Primary and Secondary Education
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-16 13:56:37,"Manufacturing, Software Development, and Technology, Information and Internet"
3965557134,Python Data Analyst,TV2 Consulting,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-07-15 13:56:42,Non-profit Organizations and Primary and Secondary Education
3985100808,Big Data Engineer - Contract - Banking - Hybrid (Toronto) - $80.00 p/h inc.,CorGTA Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-07-31 13:56:42,Banking
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:56:44,Non-profit Organizations and Primary and Secondary Education
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:56:45,Human Resources Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:56:46,Software Development
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:56:48,Marketing Services
3866635991,Data Analytics with AWS,Zortech Solutions,Canada,,Entry level,Contract,2024-04-16 13:56:49,Human Resources Services
3994957918,Junior Analytics Developer,VERB Interactive,"Calgary, Alberta, Canada",,Entry level,Full-time,2024-08-07 13:56:51,Non-profit Organizations and Primary and Secondary Education
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-16 13:56:52,"Manufacturing, Software Development, and Technology, Information and Internet"
3965557134,Python Data Analyst,TV2 Consulting,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-07-15 13:56:53,Non-profit Organizations and Primary and Secondary Education
3985100808,Big Data Engineer - Contract - Banking - Hybrid (Toronto) - $80.00 p/h inc.,CorGTA Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-07-31 13:56:55,Banking
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 13:56:56,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3994962035,Junior Analytics Developer,VERB Interactive,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-07 13:57:00,Non-profit Organizations and Primary and Secondary Education
3899622039,Data Engineer (x1)-Canada,Zortech Solutions,Canada,,Entry level,Full-time,2024-04-16 13:57:01,Human Resources Services
3994957918,Junior Analytics Developer,VERB Interactive,"Calgary, Alberta, Canada",,Entry level,Full-time,2024-08-07 13:57:01,Non-profit Organizations and Primary and Secondary Education
3995863381,Data Analyst,Twizweb,Canada,,Entry level,Full-time,2024-08-11 13:57:02,Marketing Services
3866635991,Data Analytics with AWS,Zortech Solutions,Canada,,Entry level,Contract,2024-04-16 13:57:03,Human Resources Services
4000599709,Junior Data Engineer,Patterned Learning Career,"Calgary, Alberta, Canada",,Mid-Senior level,Full-time,2024-08-13 19:57:05,Software Development
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-16 13:57:06,"Manufacturing, Software Development, and Technology, Information and Internet"
3994956917,Junior Analytics Developer,VERB Interactive,"Halifax, Nova Scotia, Canada",,Entry level,Full-time,2024-08-07 13:57:07,Non-profit Organizations and Primary and Secondary Education
3965557134,Python Data Analyst,TV2 Consulting,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-07-15 13:57:09,Non-profit Organizations and Primary and Secondary Education
3985100808,Big Data Engineer - Contract - Banking - Hybrid (Toronto) - $80.00 p/h inc.,CorGTA Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-07-31 13:57:12,Banking
