job_id,job_title,company_name,company_location,pay_range,job_level,employment_type,job_posted_date,industry
3847781424,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-08-01 01:40:06,"Software Development, Financial Services, and Technology, Information and Internet"
3908187506,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-08-01 01:40:06,"Software Development, Financial Services, and Technology, Information and Internet"
3980280311,Junior Data Analyst,Botsford Associates,"Toronto, Ontario, Canada",,Associate,Contract,2024-07-25 01:40:07,Business Consulting and Services and Capital Markets
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-17 01:40:08,"Manufacturing, Software Development, and Technology, Information and Internet"
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 01:40:09,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3967967043,ICQA Data Analyst,Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:09,Software Development
3967962890,ICQA Data Analyst,Amazon,"Brampton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:10,Software Development
3997087686,"Data Analyst, Capital",Stripe,Canada,,Mid-Senior level,Full-time,2024-08-10 01:40:11,"Software Development, Financial Services, and Technology, Information and Internet"
3998538042,"Analyst, Data & Analytics",Canada Life,"London, Ontario, Canada",,Not Applicable,Full-time,2024-08-14 01:40:12,Financial Services and Insurance
3996771309,Data Analyst,Runnymede Healthcare Centre,"Toronto, Ontario, Canada",,Associate,Part-time,2024-08-09 01:40:12,Hospitals and Health Care
3847781424,Data Analyst,Stripe,Canada,,Mid-Senior level,Full-time,2024-08-01 01:40:15,"Software Development, Financial Services, and Technology, Information and Internet"
3980280311,Junior Data Analyst,Botsford Associates,"Toronto, Ontario, Canada",,Associate,Contract,2024-07-25 01:40:15,Business Consulting and Services and Capital Markets
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-17 01:40:16,"Manufacturing, Software Development, and Technology, Information and Internet"
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 01:40:17,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3967967043,ICQA Data Analyst,Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:18,Software Development
3967962890,ICQA Data Analyst,Amazon,"Brampton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:19,Software Development
3997087686,"Data Analyst, Capital",Stripe,Canada,,Mid-Senior level,Full-time,2024-08-10 01:40:20,"Software Development, Financial Services, and Technology, Information and Internet"
3998538042,"Analyst, Data & Analytics",Canada Life,"London, Ontario, Canada",,Not Applicable,Full-time,2024-08-14 01:40:20,Financial Services and Insurance
3996771309,Data Analyst,Runnymede Healthcare Centre,"Toronto, Ontario, Canada",,Associate,Part-time,2024-08-09 01:40:21,Hospitals and Health Care
3998621929,Data Analyst,Infotek Consulting Services Inc.,"Toronto, Ontario, Canada",CA$45.00/hr - CA$55.00/hr,Mid-Senior level,Contract,2024-08-14 01:40:22,Banking
3980280311,Junior Data Analyst,Botsford Associates,"Toronto, Ontario, Canada",,Associate,Contract,2024-07-25 01:40:24,Business Consulting and Services and Capital Markets
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-17 01:40:25,"Manufacturing, Software Development, and Technology, Information and Internet"
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 01:40:25,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3967967043,ICQA Data Analyst,Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:26,Software Development
3967962890,ICQA Data Analyst,Amazon,"Brampton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:27,Software Development
3997087686,"Data Analyst, Capital",Stripe,Canada,,Mid-Senior level,Full-time,2024-08-10 01:40:28,"Software Development, Financial Services, and Technology, Information and Internet"
3998538042,"Analyst, Data & Analytics",Canada Life,"London, Ontario, Canada",,Not Applicable,Full-time,2024-08-14 01:40:29,Financial Services and Insurance
3996771309,Data Analyst,Runnymede Healthcare Centre,"Toronto, Ontario, Canada",,Associate,Part-time,2024-08-09 01:40:30,Hospitals and Health Care
3998621929,Data Analyst,Infotek Consulting Services Inc.,"Toronto, Ontario, Canada",CA$45.00/hr - CA$55.00/hr,Mid-Senior level,Contract,2024-08-14 01:40:30,Banking
3960939194,"ICQA Data Analyst - Bolton, ON, YYZ7",Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-11 01:40:32,Software Development
3888492448,Data Analyst,B3 Systems,"Toronto, Ontario, Canada",,Not Applicable,Full-time,2024-04-17 01:40:34,"Manufacturing, Software Development, and Technology, Information and Internet"
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 01:40:34,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3967967043,ICQA Data Analyst,Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:35,Software Development
3967962890,ICQA Data Analyst,Amazon,"Brampton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:36,Software Development
3997087686,"Data Analyst, Capital",Stripe,Canada,,Mid-Senior level,Full-time,2024-08-10 01:40:37,"Software Development, Financial Services, and Technology, Information and Internet"
3998538042,"Analyst, Data & Analytics",Canada Life,"London, Ontario, Canada",,Not Applicable,Full-time,2024-08-14 01:40:38,Financial Services and Insurance
3996771309,Data Analyst,Runnymede Healthcare Centre,"Toronto, Ontario, Canada",,Associate,Part-time,2024-08-09 01:40:39,Hospitals and Health Care
3998621929,Data Analyst,Infotek Consulting Services Inc.,"Toronto, Ontario, Canada",CA$45.00/hr - CA$55.00/hr,Mid-Senior level,Contract,2024-08-14 01:40:40,Banking
3960939194,"ICQA Data Analyst - Bolton, ON, YYZ7",Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-11 01:40:40,Software Development
3952565822,Data Analyst,NMG Consulting,"Toronto, Ontario, Canada",,Entry level,Full-time,2024-08-14 01:40:41,"Financial Services, Insurance, and Research Services"
3993624380,Data Analyst,Safyre Labs – Jewlr,"Greater Toronto Area, Canada",,Associate,Full-time,2024-08-08 01:40:43,"Retail Luxury Goods and Jewelry, Online and Mail Order Retail, and Retail"
3967967043,ICQA Data Analyst,Amazon,"Bolton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:44,Software Development
3967962890,ICQA Data Analyst,Amazon,"Brampton, Ontario, Canada",,Not Applicable,Full-time,2024-08-01 01:40:45,Software Development
3997087686,"Data Analyst, Capital",Stripe,Canada,,Mid-Senior level,Full-time,2024-08-10 01:40:45,"Software Development, Financial Services, and Technology, Information and Internet"
