job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
3938008278~Data/ML Engineer~Raydiant~Ontario, Canada~~Entry level~Full-time~2024-08-07 16:58:54~Software Development
3921503294~Cloud Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-05-16 16:58:54~Human Resources Services
3991558934~Cloud Engineer - Azure / GCP - $70.00 contract - Toronto (Hybrid)~CorGTA Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-07 16:58:55~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 16:58:55~Human Resources Services
3888471154~Cloud Engineer-GCP~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:58:56~IT Services and IT Consulting
3977425270~Platform Engineer~Ratehub.ca~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-17 16:58:57~Internet Publishing
3996904586~Azure Developer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-13 16:58:58~IT Services and IT Consulting
3998622396~Platform Engineer / DevOps Engineer - Elite FinTech - $100,000-$150,000 CAD + Bonus~Hunter Bond~Montreal, Quebec, Canada~CA$100,000.00/yr - CA$150,000.00/yr~Mid-Senior level~Full-time~2024-08-13 19:58:59~Technology, Information and Media and Financial Services
3925392242~Data Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-05-16 16:58:59~Staffing and Recruiting
3898537928~Azure Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:00~IT Services and IT Consulting
3921503294~Cloud Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-05-16 16:59:02~Human Resources Services
3991558934~Cloud Engineer - Azure / GCP - $70.00 contract - Toronto (Hybrid)~CorGTA Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-07 16:59:02~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 16:59:03~Human Resources Services
3888471154~Cloud Engineer-GCP~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:03~IT Services and IT Consulting
3977425270~Platform Engineer~Ratehub.ca~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-17 16:59:04~Internet Publishing
3996904586~Azure Developer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-13 16:59:05~IT Services and IT Consulting
3998622396~Platform Engineer / DevOps Engineer - Elite FinTech - $100,000-$150,000 CAD + Bonus~Hunter Bond~Montreal, Quebec, Canada~CA$100,000.00/yr - CA$150,000.00/yr~Mid-Senior level~Full-time~2024-08-13 19:59:05~Technology, Information and Media and Financial Services
3925392242~Data Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-05-16 16:59:06~Staffing and Recruiting
3898537928~Azure Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:07~IT Services and IT Consulting
3898315700~Cloud Engineer-AWS/Azure~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:08~IT Services and IT Consulting
3991558934~Cloud Engineer - Azure / GCP - $70.00 contract - Toronto (Hybrid)~CorGTA Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-07 16:59:10~IT Services and IT Consulting
3977425270~Platform Engineer~Ratehub.ca~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-17 16:59:11~Internet Publishing
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 16:59:12~Human Resources Services
3888471154~Cloud Engineer-GCP~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:13~IT Services and IT Consulting
3996904586~Azure Developer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-13 16:59:14~IT Services and IT Consulting
3998622396~Platform Engineer / DevOps Engineer - Elite FinTech - $100,000-$150,000 CAD + Bonus~Hunter Bond~Montreal, Quebec, Canada~CA$100,000.00/yr - CA$150,000.00/yr~Mid-Senior level~Full-time~2024-08-13 19:59:14~Technology, Information and Media and Financial Services
3925392242~Data Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-05-16 16:59:15~Staffing and Recruiting
3898537928~Azure Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:16~IT Services and IT Consulting
3898315700~Cloud Engineer-AWS/Azure~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:16~IT Services and IT Consulting
3888469037~Data Engineer-Azure, SQL- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:17~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 16:59:20~Human Resources Services
3888471154~Cloud Engineer-GCP~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:20~IT Services and IT Consulting
3977425270~Platform Engineer~Ratehub.ca~Toronto, Ontario, Canada~~Mid-Senior level~Full-time~2024-07-17 16:59:22~Internet Publishing
3996904586~Azure Developer-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-08-13 16:59:22~IT Services and IT Consulting
3998622396~Platform Engineer / DevOps Engineer - Elite FinTech - $100,000-$150,000 CAD + Bonus~Hunter Bond~Montreal, Quebec, Canada~CA$100,000.00/yr - CA$150,000.00/yr~Mid-Senior level~Full-time~2024-08-13 19:59:23~Technology, Information and Media and Financial Services
3925392242~Data Engineer~Hour Consulting~North York, Ontario, Canada~~Associate~Full-time~2024-05-16 16:59:24~Staffing and Recruiting
3898537928~Azure Data Engineer~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:24~IT Services and IT Consulting
3898315700~Cloud Engineer-AWS/Azure~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:25~IT Services and IT Consulting
3888469037~Data Engineer-Azure, SQL- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 16:59:26~IT Services and IT Consulting
3967939434~Azure Data Engineer (Synapse Specialist)-Canada~Zortech Solutions~Toronto, Ontario, Canada~~Associate~Contract~2024-07-15 16:59:26~Human Resources Services
